epsilon,gallery_size,accuracy
-1.0,2,0.9510846149992485
-1.0,5,0.899108261109163
-1.0,10,0.866554781824558
-1.0,20,0.8369270076649465
-1.0,50,0.7991733881068084
-1.0,100,0.7709483492810981
-1.0,200,0.7443414658584239
-1.0,500,0.7081859626271229
-1.0,1000,0.6774410099694403
0.0,2,0.7594008316216623
0.0,5,0.5145633986273233
0.0,10,0.3798557186513702
0.0,20,0.2782776414007314
0.0,50,0.18682430739942887
0.0,100,0.13669154851961324
0.0,200,0.09833675667551726
0.0,500,0.06295275787786184
0.0,1000,0.043730274034367016
1.0,2,0.7586393467261159
1.0,5,0.5137167476579328
1.0,10,0.3799058163418666
1.0,20,0.27939481989880266
1.0,50,0.18627323280396774
1.0,100,0.13507339311657734
1.0,200,0.09832673713741795
1.0,500,0.06329843194228746
1.0,1000,0.04404087971544512
10.0,2,0.7673763839486999
10.0,5,0.5271379189419367
10.0,10,0.39203947698011116
10.0,20,0.2922649165873453
10.0,50,0.19615249736987123
10.0,100,0.1447021692299985
10.0,200,0.10523019888783128
10.0,500,0.06900455888983517
10.0,1000,0.04920595160563098
100.0,2,0.8370973398126346
100.0,5,0.6506187064776314
100.0,10,0.534737738590251
100.0,20,0.4368218025149041
100.0,50,0.3303040929813136
100.0,100,0.2653674665597916
100.0,200,0.21090125745203142
100.0,500,0.1539702419718451
100.0,1000,0.1180652271930264
1000.0,2,0.9468062722308502
1000.0,5,0.8894995240719403
1000.0,10,0.8507840288562697
1000.0,20,0.815004258303692
1000.0,50,0.7700766494664596
1000.0,100,0.7371023495816843
1000.0,200,0.7032363108060719
1000.0,500,0.656650468413406
1000.0,1000,0.620494965182105
