epsilon,gallery_size,accuracy
-1.0,2,0.9972442128469786
-1.0,5,0.9890269566088786
-1.0,10,0.9812606473594548
-1.0,20,0.9722417075859304
-1.0,50,0.9565587734241908
-1.0,100,0.9419280489026957
-1.0,200,0.930303637639042
-1.0,500,0.9113137588936767
-1.0,1000,0.8966830343721816
1.0,2,0.9828139092093396
1.0,5,0.9293516384407255
1.0,10,0.8631626415472492
1.0,20,0.7832949193305943
1.0,50,0.6583826034672813
1.0,100,0.5625814209840665
1.0,200,0.4710892875037579
1.0,500,0.36521695560677425
1.0,1000,0.29642248722316866
10.0,2,0.9829141196512676
10.0,5,0.9330093195710993
10.0,10,0.8723820022046297
10.0,20,0.7940675418378595
10.0,50,0.6722617496743161
10.0,100,0.5791161439021946
10.0,200,0.4941376891472091
10.0,500,0.3878144102615493
10.0,1000,0.3171159434813108
50.0,2,0.9875739052009219
50.0,5,0.9561078264355146
50.0,10,0.9112135484517486
50.0,20,0.8482813909209339
50.0,50,0.7468183184687844
50.0,100,0.6688044894277984
50.0,200,0.5894879246417477
50.0,500,0.4852690650365768
50.0,1000,0.41447038781441026
100.0,2,0.9907806393426195
100.0,5,0.9660286601863914
100.0,10,0.9373183685740054
100.0,20,0.8996893476300231
100.0,50,0.8285399338611084
100.0,100,0.7662591442028259
100.0,200,0.6977152019240405
100.0,500,0.6089788555967531
100.0,1000,0.5407355446437518
200.0,2,0.9955907405551658
200.0,5,0.9821625413368072
200.0,10,0.9660286601863914
200.0,20,0.9430303637639041
200.0,50,0.9060026054714901
200.0,100,0.8697765307145005
200.0,200,0.8306944583625614
200.0,500,0.772572402044293
200.0,1000,0.7245214951397936
