,query_key,k,similarity
0,avatars___20210810--1306--FXN596,139,0.9570763781666756
1,avatars___20210817--0900--NRE683,55,0.9404676854610443
2,avatars___20210818--1332--CDR970,96,0.9650294184684753
3,avatars___20210819--0903--DOT682,222,1.055387683212757
4,avatars___20210827--0906--KDA058,185,1.0084125334396958
5,avatars___20210831--0815--XJT672,40,0.9079521745443344
6,avatars___20210901--0833--LAS440,140,0.9642088077962399
7,avatars___20210902--0817--IFG774,226,1.0265759192407131
8,avatars___20210922--0839--UHV563,0,0.17362672090530396
9,avatars___20210928--0843--PAK800,5,0.8178088217973709
10,avatars___20210929--0827--MCR809,50,0.9135377779603004
11,avatars___20210929--1334--SKB942,112,0.9430708810687065
12,avatars___20211001--0855--KJJ701,19,0.8793164119124413
13,avatars___20211001--1304--XMY093,167,0.9799802545458078
14,avatars___20211006--0836--EID363,65,0.9456482753157616
15,avatars___20220114--0820--JZE802,1,0.7076110243797302
16,avatars___20220202--0844--THN461,198,0.9958594464696944
17,avatars___20220214--0846--HOS732,251,1.1082519888877869
18,avatars___20220215--0801--ONK705,9,0.8670537769794464
19,avatars___20220216--1324--ZSE894,26,0.873619869351387
20,avatars___20220218--0839--XIT043,187,1.0023598445113748
21,avatars___20220303--1247--TAY503,90,0.9253473877906799
22,avatars___20220304--1320--NNQ107,61,0.9301019534468651
23,avatars___20220307--1342--RGA575,129,0.9508009031414986
24,avatars___20220310--1128--ZSC414,14,0.8438881039619446
25,avatars___20220310--1336--XRZ540,202,1.0062634791247547
26,avatars___20220311--1115--NFU480,3,0.6098822057247162
27,avatars___20220314--1116--KMD200,102,0.9514307305216789
28,avatars___20220315--0818--HDZ165,83,0.946331337094307
29,avatars___20220315--1053--FWC239,230,1.053974848240614
30,avatars___20220401--0841--PHT202,50,0.9170883372426033
31,avatars___20220406--1314--PGO261,191,1.0181418601423502
32,avatars___20220407--0816--OYQ923,162,1.001793312956579
33,avatars___20220412--1326--BGR645,38,0.9051621407270432
34,avatars___20220426--1126--SCG995,11,0.8636001944541931
35,avatars___20220510--0837--WFU321,118,0.9744957946240902
36,avatars___20220510--1051--OZZ515,86,0.9367501884698868
37,avatars___20220610--0901--TRP396,185,1.006164200603962
38,avatars___20220614--1135--DNM410,202,1.0143036730587482
39,avatars___20220627--0812--BPM833,181,1.0097571136429906
40,avatars___20220705--1055--JPG686,227,1.0275070182979107
41,avatars___20220711--1048--UGU718,51,0.9225338697433472
42,avatars___20220711--1300--BHC106,118,0.9681180529296398
43,avatars___20220712--1040--JEH262,134,0.9781288765370846
44,avatars___20220714--1031--NAB660,72,0.9401248320937157
45,avatars___20220726--1314--HNU630,3,0.7464625537395477
46,avatars___20220727--1059--TMA321,21,0.8690969198942184
47,avatars___20220802--0838--IDD857,174,0.9989948646398261
48,avatars___20220805--1649--NCU289,89,0.9682848006486893
49,avatars___20220808--0809--DPE040,5,0.80423603951931
50,avatars___20220808--1036--IBX730,47,0.9076578989624977
51,avatars___20220809--1034--BJM420,193,1.0134369526058435
52,avatars___20220809--1321--UTC375,1,0.7565512210130692
53,avatars___20220811--1704--HAZ933,17,0.8828640952706337
54,avatars___20220812--1031--KVG225,199,1.020651400089264
55,avatars___20220815--0815--GZL442,112,0.9550060406327248
56,avatars___20220815--1041--FZC097,21,0.9033538475632668
57,avatars___20220815--1307--BMP511,8,0.8689045310020447
58,avatars___20220815--1656--MOP211,24,0.8862204700708389
59,avatars___20220818--1304--VCN655,70,0.938943799585104
60,avatars___20220818--1653--SSF476,49,0.9169023111462593
61,avatars___20220819--0803--BUS250,74,0.9281906709074974
62,avatars___20220819--1313--NYY338,174,1.010414157062769
63,avatars___20220824--0804--GTU803,141,0.9631803259253502
64,avatars___20220829--0836--KSA222,146,0.9889037627726793
65,avatars___20220830--1711--JZN879,63,0.9211800768971443
66,avatars___20220831--0751--CMS162,50,0.885884515941143
67,avatars___20220831--1047--ZUS575,182,0.9956109179183841
68,avatars___20220901--1305--LNP057,42,0.8961240500211716
69,avatars___20221213--1425--VBY735,34,0.8927462175488472
70,avatars___20230106--1047--QCW581,169,1.0118731511756778
71,avatars___20230109--1327--NFS933,13,0.8657203912734985
72,avatars___20230124--1415--KKF424,15,0.8279632031917572
73,avatars___20230131--1229--WBX393,57,0.9048500880599022
74,avatars___20230206--1354--MFS340,131,0.9524978064000607
75,avatars___20230207--1619--DTW301,129,0.9846248803660274
76,avatars___20230213--0817--KGV285,8,0.8537395000457764
77,avatars___20230222--1639--KYL945,108,0.9658690355718136
78,avatars___20230224--1102--UPC002,63,0.902068130671978
79,avatars___20230224--1359--CMZ386,55,0.910073384642601
80,avatars___20230227--1052--TXE513,26,0.8808045089244843
81,avatars___20230227--1659--TRT983,20,0.8981585800647736
82,avatars___20230228--1358--HUJ848,175,0.9995944719121326
83,avatars___20230301--1646--VNS883,18,0.8937531113624573
84,avatars___20230302--0808--SEI058,132,0.9502700790762901
85,avatars___20230302--1343--UWK768,243,1.0725627094507217
86,avatars___20230302--1654--LVY864,49,0.904549315571785
87,avatars___20230303--0802--EFQ599,10,0.8288742303848267
88,avatars___20230303--1634--ZKN852,1,0.7753029018640518
89,avatars___20230306--0812--CYQ521,115,0.9608808420598507
90,avatars___20230306--1402--IXG477,39,0.8926687836647034
91,avatars___20230307--0805--FQC133,66,0.9213317707180977
92,avatars___20230307--1648--KUG325,190,1.0001624264696147
93,avatars___20230308--1352--BDF920,43,0.9222510680556297
94,avatars___20230308--1639--IKB041,1,0.5690270364284515
95,avatars___20230309--0820--CPA784,196,0.9853325700387359
96,avatars___20230309--1343--RIM072,99,0.9300445318222046
97,avatars___20230310--1106--FCT871,43,0.9198750853538513
98,avatars___20230313--0819--GCZ208,224,1.0392651483416557
99,avatars___20230313--1653--RHL466,121,0.973406920209527
100,avatars___20230314--1632--PFN770,89,0.96012007817626
101,avatars___20230315--0816--TEA904,114,0.9615271016955376
102,avatars___20230315--1638--UIS049,1,0.6574672162532806
103,avatars___20230316--1103--BHK376,129,0.9443062171339989
104,avatars___20230316--1356--GXR876,231,1.057753786444664
105,avatars___20230317--1054--GBQ558,182,0.9958420805633068
106,avatars___20230317--1648--ONK818,57,0.9028064608573914
107,avatars___20230320--0810--ZJN985,33,0.9034874215722084
108,avatars___20230322--0820--QHY185,27,0.8918781131505966
109,avatars___20230322--1706--IBQ026,58,0.9108951985836029
110,avatars___20230323--1044--HRO745,31,0.9056072235107422
111,avatars___20230323--1348--ZQK191,184,1.013249771669507
112,avatars___20230323--1656--MZL038,43,0.9124326109886169
113,avatars___20230324--0820--AEY864,32,0.8985617533326149
114,avatars___20230324--1118--ZZS850,159,0.9843430370092392
115,avatars___20230324--1647--YWZ007,43,0.9177046492695808
116,avatars___20230327--1036--RSC756,18,0.8589156866073608
117,avatars___20230328--0800--BLY735,161,0.9851264413446188
118,avatars___20230328--1214--IEY203,87,0.953405823558569
119,avatars___20230330--0823--LMT312,142,0.9843060579150915
120,avatars___20230330--1421--UCD539,24,0.8883420899510384
121,avatars___20230403--1022--RWS274,33,0.8800238817930222
122,avatars___20230404--0804--GJI283,63,0.9332501739263535
123,avatars___20230404--1217--DED409,7,0.8314114362001419
124,avatars___20230405--1213--NWM763,110,0.9697443451732397
125,avatars___20230405--1635--AAN112,206,1.0032392295543104
126,avatars___20230406--1655--IEM175,79,0.9383412785828114
127,avatars___20230407--1229--UMQ592,194,1.0037383374292403
128,avatars___20230410--0805--TWP078,58,0.8986572548747063
129,avatars___20230410--1017--GVM433,161,0.979435482993722
130,avatars___20230410--1641--ENU192,150,0.9911581892520189
131,avatars___20230412--1218--LCJ763,222,1.0415495373308659
132,avatars___20230413--1031--PDG961,108,0.9531970247626305
133,avatars___20230421--1716--ZWR419,16,0.8867992758750916
134,avatars___20230424--1024--VOG927,1,0.6998074650764465
135,avatars___20230501--1015--PHE887,81,0.9362718239426613
136,avatars___20230502--0816--ORZ494,23,0.8731928467750549
137,avatars___20230502--1030--NOG724,214,1.0300308354198933
138,avatars___20230502--1418--RWA092,5,0.85282002389431
139,avatars___20230503--1006--HDM935,28,0.8553781658411026
140,avatars___20230503--1400--JUP632,87,0.9447138085961342
141,avatars___20230508--0828--XIK500,178,0.9908066559582949
142,avatars___20230508--1015--XGD109,252,1.1051426902413368
143,avatars___20230511--0810--DUA525,67,0.9221272319555283
144,avatars___20230512--1009--ZEL435,8,0.813349038362503
145,avatars___20230515--0817--JUP244,242,1.0478680655360222
146,avatars___20230515--1236--UII082,64,0.9325563013553619
147,avatars___20230516--0802--KOH994,8,0.834677591919899
148,avatars___20230516--1240--UQD073,101,0.9334853366017342
149,avatars___20230517--1211--QZP994,213,1.0237750504165888
150,avatars___20230518--1009--RFZ285,183,0.9917917046695948
151,avatars___20230525--1403--IHO061,171,0.9818167462944984
152,avatars___20230526--1657--TLD140,155,0.9782266616821289
153,avatars___20230530--1417--RKG241,40,0.8719813525676727
154,avatars___20230531--1207--KTI779,202,1.0080694099888206
155,avatars___20230601--1051--NEB896,4,0.43754369020462036
156,avatars___20230601--1208--UJD603,21,0.8375153094530106
157,avatars___20230601--1428--FJC651,221,1.031572688370943
158,avatars___20230602--0800--TOU998,95,0.9301743283867836
