,key,ssim,emotion,age,race,gender,real_emotion,anon_emotion,real_age,anon_age,real_race,anon_race,real_gender,anon_gender
0,avatars___20210810--1306--FXN596,0.9626888459281872,1,0.010258650403610403,1,1,fear,fear,22.999657997678963,23.009916648082573,white,white,Man,Man
1,avatars___20210817--0900--NRE683,0.963578424011922,1,16.569361711375358,1,1,angry,angry,49.99939275382234,33.430031042446984,white,white,Man,Man
2,avatars___20210818--1332--CDR970,0.9876236762371601,0,0.0,1,1,angry,happy,23.0,23.0,white,white,Man,Man
3,avatars___20210819--0903--DOT682,0.9759258006507319,1,17.593099195972997,1,1,happy,happy,29.011125710782125,46.60422490675512,black,black,Man,Man
4,avatars___20210827--0906--KDA058,0.9904082859959702,1,1.7650861394713502e-07,1,1,sad,sad,23.000000191716893,23.00000001520828,white,white,Man,Man
5,avatars___20210831--0815--XJT672,0.9882287884487592,1,0.007667483027034905,1,1,sad,sad,22.99996468071913,22.992297197692096,asian,asian,Woman,Woman
6,avatars___20210901--0833--LAS440,0.9754367535497198,1,0.00013325545757325585,1,1,happy,happy,28.999866773723625,29.000000029181198,white,white,Woman,Woman
7,avatars___20210902--0817--IFG774,0.9975908113608057,1,0.09700804950371733,1,1,angry,angry,29.15553277733816,29.058524727834442,white,white,Man,Man
8,avatars___20210922--0839--UHV563,0.9832359599401949,1,1.935624993620877e-10,1,1,happy,happy,23.00000000013299,23.00000000032655,white,white,Man,Man
9,avatars___20210928--0843--PAK800,0.9674272061148214,1,16.208303267023183,1,1,sad,sad,55.68138771580979,39.47308444878661,white,white,Man,Man
10,avatars___20210929--0827--MCR809,0.9982920993466434,1,6.471893243542581e-07,1,1,happy,happy,29.999996480184564,29.99999583299524,white,white,Man,Man
11,avatars___20210929--1334--SKB942,0.9733248928039806,1,0.0001858171721167423,1,1,angry,angry,53.0005015546244,53.00031573745228,latino hispanic,latino hispanic,Man,Man
12,avatars___20211001--0855--KJJ701,0.988160102765757,1,3.552713678800501e-15,1,1,happy,happy,23.0,23.000000000000004,white,white,Man,Man
13,avatars___20211001--1304--XMY093,0.9904376554683995,0,0.0,1,1,angry,happy,23.0,23.0,white,white,Man,Man
14,avatars___20211006--0836--EID363,0.9950869634394902,1,0.485834538936615,1,1,neutral,neutral,29.067477107048035,29.55331164598465,white,white,Man,Man
15,avatars___20220114--0820--JZE802,0.995728582400665,1,1.0415490692139429e-10,1,1,neutral,neutral,29.0000000000433,29.000000000147455,indian,indian,Man,Man
16,avatars___20220202--0844--THN461,0.9993349318210996,1,0.0,1,1,happy,happy,39.47308444878661,39.47308444878661,black,black,Man,Man
17,avatars___20220214--0846--HOS732,0.9990416457689045,1,0.0,1,1,happy,happy,23.0,23.0,white,white,Man,Man
18,avatars___20220215--0801--ONK705,0.9431200297888486,0,0.004706243044232394,1,1,sad,happy,54.00000298253674,54.004709225580974,white,white,Man,Man
19,avatars___20220216--1324--ZSE894,0.971242906051952,1,0.0037097788600704007,1,1,happy,happy,29.002211001704524,28.998501222844453,white,white,Man,Man
20,avatars___20220218--0839--XIT043,0.9920407416491471,1,0.0,1,1,happy,happy,32.0,32.0,black,black,Man,Man
21,avatars___20220303--1247--TAY503,0.9956241158217178,1,0.0,1,1,neutral,neutral,20.0,20.0,white,white,Woman,Woman
22,avatars___20220304--1320--NNQ107,0.9967947125691797,1,5.165290417608048e-11,1,1,neutral,neutral,29.000000000090527,29.000000000038874,black,black,Man,Man
23,avatars___20220307--1342--RGA575,0.9942234385670145,1,1.2583711850311374e-11,1,1,angry,angry,23.000000000094794,23.00000000008221,black,black,Man,Man
24,avatars___20220310--1128--ZSC414,0.9904467830490096,1,1.4468007734080857e-06,1,1,happy,happy,53.99999482253613,53.999996269336904,white,white,Woman,Woman
25,avatars___20220310--1336--XRZ540,0.977181553454033,1,5.36456354893744e-07,1,1,neutral,neutral,20.000000536456355,20.0,latino hispanic,latino hispanic,Man,Man
26,avatars___20220311--1115--NFU480,0.9971063040672092,1,0.626471991662477,1,1,neutral,neutral,19.857691085472887,19.23121909381041,asian,asian,Man,Man
27,avatars___20220314--1116--KMD200,0.9963954465508976,1,5.254037205304485e-10,1,1,angry,angry,28.000000000397936,28.00000000092334,white,white,Woman,Woman
28,avatars___20220315--0818--HDZ165,0.9859935305457972,0,0.0,1,1,angry,fear,20.0,20.0,white,white,Woman,Woman
29,avatars___20220315--1053--FWC239,0.9938994524858964,1,0.018052665982523308,1,1,sad,sad,32.00552516942846,32.02357783541098,white,white,Man,Man
30,avatars___20220401--0841--PHT202,0.979596097125945,1,1.7868070166571215e-05,1,1,neutral,neutral,22.00001647321802,21.999998605147855,white,white,Woman,Woman
31,avatars___20220406--1314--PGO261,0.9709153264991324,1,0.0,1,1,neutral,neutral,23.0,23.0,white,white,Woman,Woman
32,avatars___20220407--0816--OYQ923,0.9966130990009564,1,0.0,1,1,neutral,neutral,23.0,23.0,latino hispanic,latino hispanic,Man,Man
33,avatars___20220412--1326--BGR645,0.9979878282521949,1,1.7008190411615942e-09,1,1,neutral,neutral,29.000000003482597,29.00000000178178,black,black,Woman,Woman
34,avatars___20220426--1126--SCG995,0.991892873703893,1,0.0,1,1,neutral,neutral,20.0,20.0,white,white,Woman,Woman
35,avatars___20220510--0837--WFU321,0.9978184257168206,1,0.04334944486618042,1,1,angry,angry,30.093018651008606,30.136368095874786,black,black,Man,Man
36,avatars___20220510--1051--OZZ515,0.996494631988261,1,9.35055766149162e-09,1,1,neutral,neutral,23.000000011090346,23.00000000173979,black,black,Man,Man
37,avatars___20220610--0901--TRP396,0.9990590626893865,0,0.0,1,1,neutral,happy,23.000000000000004,23.000000000000004,latino hispanic,latino hispanic,Woman,Woman
38,avatars___20220614--1135--DNM410,0.9746494704819164,1,0.0038010264541519234,1,1,neutral,neutral,29.000000001040725,28.996198974586573,asian,asian,Man,Man
39,avatars___20220627--0812--BPM833,0.9751129433300025,1,1.239236269157118e-09,1,1,sad,sad,23.00000000174668,23.000000000507445,white,white,Man,Man
40,avatars___20220705--1055--JPG686,0.9825726892400507,1,1.9627369858489168,1,1,neutral,neutral,21.962766456368033,20.000029470519117,white,white,Man,Man
41,avatars___20220711--1048--UGU718,0.9818664025981599,1,3.552713678800501e-15,1,1,neutral,neutral,23.000000000000004,23.0,white,white,Woman,Woman
42,avatars___20220711--1300--BHC106,0.979938137255497,1,4.0,1,1,neutral,neutral,32.0,28.0,white,white,Man,Man
43,avatars___20220712--1040--JEH262,0.9990571742585124,1,0.0,1,1,neutral,neutral,32.0,32.0,white,white,Man,Man
